town,flat_type,block,street_name,floor_area_sqm,flat_model,resale_price,remaining_lease,storey_no,lease_commence_date
BEDOK,3 ROOM,23,BEDOK STH AVE 1,73,New Generation,305000,59.33333333,2,2004
BEDOK,3 ROOM,28,NEW UPP CHANGI RD,65,Improved,308000,59.25,8,1997
BEDOK,3 ROOM,126,BEDOK NTH ST 2,67,New Generation,310000,60.25,2,1983
BEDOK,3 ROOM,528,BEDOK NTH ST 3,68,New Generation,310000,61.5,8,1985
BEDOK,3 ROOM,536,BEDOK NTH ST 3,68,New Generation,310000,61.91666667,12,2004
BEDOK,3 ROOM,122,BEDOK NTH ST 2,67,New Generation,312300,60.08333333,10,1985
BEDOK,3 ROOM,712,BEDOK RESERVOIR RD,68,New Generation,315000,63.41666667,7,1997
BEDOK,3 ROOM,41,CHAI CHEE ST,67,New Generation,315000,67.33333333,6,1997
BEDOK,3 ROOM,740,BEDOK RESERVOIR RD,67,New Generation,320000,68.41666667,6,1998
BEDOK,3 ROOM,528,BEDOK NTH ST 3,68,New Generation,330000,61.5,16,1984
BEDOK,3 ROOM,107,BEDOK NTH RD,81,New Generation,335000,59.41666667,8,1985
BEDOK,3 ROOM,545,BEDOK NTH ST 3,82,New Generation,340000,62.25,2,1997
BEDOK,3 ROOM,214,BEDOK NTH ST 1,68,New Generation,348000,62,4,1971
BEDOK,3 ROOM,525,BEDOK NTH ST 3,82,New Generation,349000,61.41666667,12,1971
BEDOK,3 ROOM,526,BEDOK NTH ST 3,82,New Generation,355000,61.41666667,3,1976
BEDOK,3 ROOM,201,BEDOK NTH ST 1,73,New Generation,358000,61.41666667,3,1971
BEDOK,3 ROOM,420,BEDOK NTH ST 1,68,New Generation,358000,60.91666667,7,1975
BEDOK,3 ROOM,219D,BEDOK CTRL,69,Model A,425000,92.25,5,1970
BEDOK,4 ROOM,35,BEDOK STH AVE 2,90,Improved,347000,59.58333333,10,1976
BEDOK,4 ROOM,43,BEDOK STH RD,84,Improved,348000,59.58333333,2,1976
BEDOK,4 ROOM,95,BEDOK NTH AVE 4,92,New Generation,365000,61.33333333,2,1979
BEDOK,4 ROOM,150,BEDOK RESERVOIR RD,84,Simplified,371000,70.41666667,3,1976
BEDOK,4 ROOM,156,BEDOK STH AVE 3,84,Simplified,380000,67.83333333,8,1969
BEDOK,4 ROOM,709,BEDOK RESERVOIR RD,102,New Generation,395888,63.41666667,8,1976
BEDOK,4 ROOM,713,BEDOK RESERVOIR RD,93,New Generation,398000,63.41666667,4,1979
BEDOK,4 ROOM,51,NEW UPP CHANGI RD,84,Improved,398000,59.58333333,14,1976
BEDOK,4 ROOM,524,BEDOK NTH ST 3,92,New Generation,404000,61.41666667,6,1974
BEDOK,4 ROOM,421,BEDOK NTH RD,92,New Generation,408000,60.91666667,5,1976
BEDOK,4 ROOM,404,BEDOK NTH AVE 3,92,New Generation,410000,62.16666667,1,1976
BEDOK,4 ROOM,609,BEDOK RESERVOIR RD,91,New Generation,410000,64.41666667,5,1971
BEDOK,4 ROOM,54,CHAI CHEE ST,91,New Generation,410000,63.25,15,1982
BEDOK,4 ROOM,151,BEDOK RESERVOIR RD,84,Simplified,415000,70.58333333,6,1978
BEDOK,4 ROOM,648,JLN TENAGA,104,Model A,423888,75.25,3,1973
BEDOK,4 ROOM,156,BEDOK STH AVE 3,84,Simplified,470000,67.83333333,11,1979
BEDOK,4 ROOM,646,JLN TENAGA,104,Model A,475000,75.25,9,2013
BEDOK,4 ROOM,761,BEDOK RESERVOIR VIEW,105,Premium Apartment,483800,82.83333333,2,1973
BEDOK,4 ROOM,654,JLN TENAGA,108,Model A,490000,78.83333333,9,1973
BEDOK,4 ROOM,765,BEDOK RESERVOIR VIEW,105,Premium Apartment,548000,82.91666667,17,1973
BEDOK,4 ROOM,181,BEDOK NTH RD,92,Model A,586000,87.91666667,10,2013
BEDOK,4 ROOM,180,BEDOK NTH RD,92,Model A,598000,87.91666667,18,1970
BEDOK,4 ROOM,185,BEDOK NTH RD,92,Model A,611000,87.83333333,6,1975
BEDOK,5 ROOM,101,BEDOK RESERVOIR RD,121,Improved,422000,67.41666667,6,1975
BEDOK,5 ROOM,601,BEDOK RESERVOIR RD,121,Improved,467000,64.25,12,1985
BEDOK,5 ROOM,613,BEDOK RESERVOIR RD,121,Improved,475000,63.25,10,1984
BEDOK,5 ROOM,613B,BEDOK RESERVOIR RD,121,Improved,500000,80,2,1976
BEDOK,5 ROOM,607,BEDOK RESERVOIR RD,121,Improved,515000,64.91666667,11,2000
BEDOK,5 ROOM,52,CHAI CHEE ST,121,Improved,515000,63.33333333,13,1997
BEDOK,5 ROOM,91,BEDOK NTH ST 4,117,Standard,530000,60.33333333,10,1997
BEDOK,5 ROOM,549,BEDOK NTH AVE 1,134,Adjoined flat,603000,66.66666667,5,1985
BEDOK,5 ROOM,767,BEDOK RESERVOIR VIEW,115,Premium Apartment,605000,82.83333333,14,1997
BEDOK,5 ROOM,60,NEW UPP CHANGI RD,120,Standard,635000,59.41666667,4,2013
BEDOK,5 ROOM,405,BEDOK NTH AVE 3,122,Improved,655000,62.41666667,21,2013
BEDOK,5 ROOM,31,BEDOK STH AVE 2,118,Standard,735000,60.08333333,22,2013
BEDOK,EXECUTIVE,10B,BEDOK STH AVE 2,141,Apartment,800000,77.83333333,9,2008
ANG MO KIO,2 ROOM,508,ANG MO KIO AVE 8,44,Improved,230000,62.25,5,2005
ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,67,New Generation,250000,58.08333333,3,2005
